ID_REF,GSM1110879,GSM1110880,GSM1110881,GSM1110882
215701_at,21.8787,21.9805,22.2226,21.9879
215702_s_at,20.1845,20.1506,19.9087,19.8141
215703_at,20.519,20.5417,20.1273,20.2236
215704_at,20.7389,20.5639,20.5807,20.4506
215705_at,22.606,22.7278,22.5931,22.4691
215706_x_at,26.3944,25.7625,26.1533,25.7923
215707_s_at,27.1019,26.0988,26.555,25.8315
215708_s_at,23.4854,23.2021,23.4976,23.301
215709_at,21.1677,21.004,20.9962,21.0479
215710_at,21.0386,21.1071,20.9022,21.3871
215711_s_at,22.6072,22.8252,23.0214,22.7558
215712_s_at,21.3294,21.5578,21.3378,21.4215
215713_at,19.8675,20.4013,19.9144,20.1278
215714_s_at,25.9353,26.2454,26.7154,26.7903
215715_at,21.5854,21.4992,22.1143,21.9405
215716_s_at,26.2903,26.8621,26.3303,26.9017
215717_s_at,24.6253,23.9561,24.6388,24.2793
215718_s_at,24.5561,24.5063,24.1257,24.3133
215719_x_at,22.9675,22.0368,21.4038,22.1868
215720_s_at,22.7914,22.2426,21.9654,22.3077
215721_at,20.5454,20.6055,20.418,20.7604
215722_s_at,25.4491,25.627,25.3198,25.4871
215723_s_at,20.7993,20.1402,20.7827,20.4934
215724_at,20.1707,20.6718,20.8278,19.8957
215725_at,22.2381,22.395,22.4428,22.4643
215726_s_at,26.6897,27.0578,26.9741,27.1667
215727_x_at,21.1682,21.4585,21.3932,21.4583
215728_s_at,25.3108,25.3379,25.3071,25.335
215729_s_at,20.283,20.0025,19.7672,19.9208
215730_at,20.9171,21.3278,21.1873,21.226
215731_s_at,23.3354,23.8295,24.3835,24.2858
215732_s_at,21.7927,21.8693,21.9172,21.9554
215733_x_at,21.6721,21.495,21.7092,21.1274
215734_at,21.3588,21.2408,21.6449,21.5519
215735_s_at,23.135,23.4452,23.3024,23.7051
215736_at,21.3533,22.4093,21.1287,22.5941
215737_x_at,24.013,24.1487,23.9048,24.0226
215738_at,20.8526,21.0051,20.9528,21.1251
215739_s_at,22.7662,22.9524,22.5168,22.9795
215740_at,21.6207,21.355,21.205,20.9311
215741_x_at,22.4886,22.2265,22.6215,22.352
215742_at,20.7763,20.5746,20.6239,20.2864
215743_at,23.4724,23.3891,23.1562,23.5569
215744_at,22.2764,22.3855,22.1955,22.4486
215745_at,21.2599,20.9877,20.9746,21.0923
215746_at,20.5471,20.756,20.7861,20.8091
215747_s_at,23.6986,23.6025,23.5423,23.541
215748_at,20.8941,21.0554,21.4581,21.0471
215749_s_at,24.0249,24.2603,24.2076,24.1971
215750_at,22.1524,22.368,22.3168,22.5163
215751_at,19.8675,19.9353,19.9155,20.3588
215752_at,19.8676,20.0098,20.5149,19.863
215753_at,21.4998,21.761,21.7764,21.1062
215754_at,23.247,22.5141,22.7838,22.5366
215755_at,21.8797,21.8705,22.1263,21.4687
215756_at,21.5154,21.3964,21.4768,21.383
215757_at,21.1673,20.6932,21.1119,20.7247
215758_x_at,24.393,24.1108,23.7578,24.0356
215759_at,20.4577,19.7842,20.42,19.8159
215760_s_at,21.2144,21.2627,21.1563,20.8932
215761_at,21.1565,21.2576,21.4,21.511
215762_at,20.6218,20.5044,20.6079,20.5652
215763_at,21.9459,22.1948,22.3039,22.4261
215764_x_at,24.6088,24.6547,24.5487,24.5406
215765_at,22.4717,22.6929,22.2898,22.6511
215766_at,23.1079,22.6334,22.7335,22.63
215767_at,24.1735,24.2268,23.7966,24.2761
215768_at,20.0772,20.5068,20.0447,20.5902
215769_at,20.8391,20.3105,20.5376,20.3763
215770_at,20.336,20.9702,21.1064,21.1406
215771_x_at,21.4217,21.2837,21.5447,21.2734
215772_x_at,25.8393,26.2185,25.8704,26.245
215773_x_at,26.236,26.0711,26.1262,26.1408
215774_s_at,20.8166,20.6607,20.7513,20.6127
215775_at,21.7666,21.8014,22.2047,21.8309
215776_at,20.7197,20.5799,20.6342,20.3157
215777_at,20.7211,20.8949,20.4576,20.4897
215778_x_at,21.8868,21.8472,21.8969,21.811
215779_s_at,24.9127,24.6198,24.1157,24.3676
215780_s_at,27.5138,27.3815,27.5179,27.6162
215781_s_at,22.1907,22.0547,22.3872,22.0504
215782_at,21.328,21.4267,21.4864,21.1227
215783_s_at,21.6436,21.7621,21.4723,21.2475
215784_at,19.8679,20.1711,20.1844,19.8146
215785_s_at,24.7731,24.3736,24.9503,24.2236
215786_at,22.4868,22.069,22.3736,21.9513
215787_at,20.6947,20.8267,20.6636,20.7992
215788_at,23.1208,22.9014,23.2867,23.0029
215789_s_at,20.4232,20.216,20.3425,19.8141
